Price,Type,Rooms,Bathroom,Car,BuildingArea,Regionname,YearBuilt
708000,3,3,1,2.0,97.0,4,1960.0
620000,3,3,2,2.0,100.0,4,2010.0
728500,3,3,1,1.0,157.0,4,1960.0
931000,3,3,2,1.0,160.0,4,1950.0
815000,3,3,2,3.0,130.0,4,1960.0
292000,1,2,1,1.0,70.0,4,1970.0
599000,1,2,1,1.0,76.0,8,1964.0
995000,1,3,2,2.0,100.0,8,1998.0
1205000,2,3,2,2.0,105.0,8,2000.0
1939000,3,3,2,2.0,150.0,8,1889.0
1870000,3,3,1,1.0,116.0,8,1888.0
1918000,2,3,2,2.0,165.0,8,1995.0
2050000,3,3,2,1.0,116.0,8,1910.0
735000,1,3,2,1.0,14.0,8,1970.0
1435000,3,1,2,1.0,107.0,8,1900.0
280000,1,1,1,1.0,38.0,8,1975.0
592500,1,2,1,1.0,73.0,8,1970.0
1210000,3,2,1,0.0,96.0,8,1910.0
1800000,3,3,2,2.0,121.0,8,1910.0
2200000,3,4,1,2.0,163.0,8,1900.0
440000,1,1,1,1.0,53.0,8,1970.0
1300000,3,3,1,2.0,106.0,8,1900.0
704000,1,2,1,1.0,74.0,8,1969.0
620000,1,2,1,1.0,98.0,8,1970.0
1900000,3,3,1,2.0,108.0,8,1900.0
710000,1,2,1,1.0,80.0,8,1970.0
598000,1,2,1,1.0,88.0,8,1970.0
1285000,3,3,1,2.0,80.0,8,1920.0
520000,1,2,1,1.0,76.0,8,1970.0
1101000,2,3,1,2.0,3.0,8,2000.0
869000,1,3,1,1.0,91.0,8,1940.0
567000,1,1,1,1.0,53.0,8,2013.0
940000,3,3,1,2.0,108.0,4,1920.0
467000,1,2,1,1.0,62.0,4,1980.0
1380000,3,3,2,2.0,174.0,4,1910.0
490000,1,2,1,1.0,62.0,4,1970.0
971000,3,3,2,2.0,128.0,4,1900.0
710000,3,2,1,1.0,77.0,4,1890.0
750000,3,2,1,1.0,92.0,4,1920.0
1053000,3,2,1,1.0,109.0,4,1900.0
1377000,3,3,1,1.0,168.0,4,1900.0
970000,3,3,1,2.0,125.0,4,1904.0
751000,3,2,1,1.0,79.0,4,1890.0
950000,3,2,1,1.0,102.0,4,1900.0
685000,1,2,1,2.0,90.0,4,1995.0
1230000,3,3,1,2.0,148.0,4,1960.0
770000,3,2,1,1.0,87.0,4,1900.0
890000,3,4,1,1.0,185.0,4,1890.0
1440000,3,3,1,1.0,131.0,4,1900.0
1000000,3,3,2,2.0,120.0,4,1955.0
1435000,3,3,2,2.0,147.0,4,1950.0
390000,1,1,1,1.0,58.0,4,1972.0
1425000,3,3,2,2.0,139.0,4,1920.0
1340000,3,4,2,2.0,232.0,4,1978.0
955000,3,3,1,1.0,117.0,4,1910.0
432000,1,2,1,1.0,62.0,4,1978.0
1640000,3,4,3,2.0,204.0,4,1890.0
610000,1,2,1,1.0,104.0,4,1995.0
940000,3,3,3,1.0,127.0,4,1950.0
890000,3,3,1,1.0,110.0,4,1920.0
1180000,3,3,2,2.0,149.0,4,1930.0
1480000,3,4,2,2.0,180.0,4,1939.0
865000,2,2,2,1.0,132.0,4,2015.0
442000,1,2,1,1.0,62.0,4,1975.0
1037500,3,3,1,2.0,110.0,4,1920.0
1050000,2,3,2,2.0,160.0,4,2013.0
440000,1,2,1,1.0,65.0,4,1970.0
1430000,3,4,2,0.0,158.0,4,1900.0
1130000,3,3,2,1.0,157.0,4,1900.0
1135000,3,3,1,1.0,104.0,4,1910.0
950000,3,4,2,1.0,147.0,4,1920.0
390000,1,2,1,1.0,69.0,4,2012.0
1345000,3,4,1,1.0,155.0,4,1920.0
1381500,3,3,2,2.0,168.0,4,1900.0
940000,3,3,2,2.0,172.0,4,2011.0
995000,3,3,2,1.0,177.0,4,2010.0
786000,3,3,2,1.0,120.0,4,1940.0
705000,3,2,1,3.0,108.0,4,1910.0
760000,3,2,1,1.0,77.0,4,1900.0
1000000,2,3,2,2.0,144.0,4,2003.0
1305000,3,3,1,1.0,166.0,4,1900.0
1215000,3,3,1,1.0,175.0,4,1960.0
545000,1,2,1,2.0,71.0,4,1900.0
1670000,3,3,2,2.0,220.0,8,1930.0
1555000,3,3,2,2.0,149.0,8,1935.0
1100000,3,3,3,2.0,178.0,8,2004.0
1337000,3,3,1,2.0,112.0,8,1950.0
1518000,3,3,2,2.0,145.0,8,1920.0
1710000,3,3,1,2.0,101.0,8,1950.0
1655000,3,3,1,3.0,152.0,8,1940.0
1550000,3,4,2,2.0,180.0,8,1938.0
1662000,3,3,2,2.0,228.0,8,2006.0
1665000,3,3,2,3.0,145.0,8,1945.0
900000,2,3,2,2.0,110.0,8,1990.0
1500000,3,3,2,2.0,139.0,8,1945.0
1830000,3,3,2,3.0,168.0,8,1940.0
1415000,3,3,1,1.0,111.0,8,1950.0
1440000,3,2,1,1.0,104.0,8,1940.0
1250000,2,4,2,2.0,199.0,8,2007.0
1790000,3,4,2,2.0,240.0,8,1935.0
1650000,3,3,1,1.0,164.0,8,1947.0
1200000,3,4,3,2.0,201.0,8,2016.0
1075000,3,2,1,2.0,114.0,8,1950.0
1500000,3,4,2,2.0,203.0,8,2000.0
700000,2,2,1,2.0,110.0,8,1970.0
1100000,3,4,2,2.0,152.0,8,1970.0
690000,1,2,1,1.0,90.0,8,2003.0
1631000,3,3,2,3.0,215.0,8,1950.0
1500000,3,4,2,1.0,255.0,8,1930.0
600000,1,2,1,1.0,80.0,8,1970.0
1240000,3,4,2,2.0,192.0,8,1950.0
700000,1,2,1,2.0,88.0,8,2007.0
1110000,3,2,1,1.0,86.0,8,1950.0
1305000,3,3,1,1.0,120.0,8,1960.0
855000,3,3,2,1.0,85.0,8,1958.0
900500,2,3,2,2.0,134.0,8,2012.0
1200000,3,3,2,2.0,198.0,8,1970.0
830000,2,3,1,2.0,130.0,8,2012.0
850000,3,3,1,1.0,118.0,4,1970.0
750000,3,3,1,1.0,103.0,4,1980.0
851000,2,3,3,1.0,181.0,4,2017.0
1155000,3,4,2,2.0,225.0,4,2008.0
680000,3,3,1,2.0,120.0,4,1970.0
627500,3,3,1,1.0,143.0,4,1970.0
705000,3,3,1,1.0,106.0,4,1960.0
892500,3,3,1,1.0,118.0,4,1965.0
522500,3,2,1,1.0,101.0,4,1995.0
680000,3,4,2,2.0,140.0,4,1960.0
875000,3,3,1,3.0,117.0,4,1960.0
762000,3,4,2,2.0,150.0,4,1961.0
411000,1,2,1,1.0,85.0,4,1995.0
805000,3,3,2,2.0,103.0,4,1970.0
634000,3,3,2,1.0,153.0,4,1950.0
1819000,3,4,2,1.0,180.0,8,1900.0
410000,1,2,1,2.0,61.0,8,1965.0
1015000,2,2,1,2.0,120.0,8,2000.0
502500,1,2,1,1.0,65.0,8,1960.0
520000,1,2,1,0.0,58.0,8,1970.0
442000,1,2,1,1.0,61.0,8,1960.0
1193000,3,3,1,1.0,100.0,8,1920.0
416000,1,2,1,1.0,49.0,8,1960.0
474000,1,2,1,1.0,59.0,8,1970.0
981000,3,2,1,0.0,84.0,8,1930.0
1690000,3,3,2,2.0,159.0,8,1890.0
540000,1,2,1,1.0,51.0,8,1970.0
2100000,3,2,1,1.0,123.0,8,1920.0
1800000,3,4,2,2.0,218.0,8,1985.0
1255000,2,2,1,1.0,129.0,8,2000.0
1070000,1,3,2,2.0,112.0,8,1998.0
806000,1,2,1,1.0,97.0,8,1977.0
1850000,3,2,1,1.0,166.0,8,1930.0
700000,3,3,1,1.0,110.0,8,1970.0
500000,3,2,1,1.0,72.0,8,1960.0
2125000,3,3,2,2.0,252.0,8,1985.0
1800000,3,4,2,2.0,200.0,8,1948.0
635000,1,2,1,1.0,70.0,8,2014.0
526000,1,2,1,1.0,73.0,8,1960.0
905000,3,3,1,2.0,150.0,8,1995.0
760000,2,2,1,1.0,100.0,8,1960.0
1367000,2,3,2,2.0,164.0,8,2003.0
1400000,2,4,3,2.0,240.0,8,2009.0
625000,1,2,1,1.0,104.0,8,1960.0
460000,1,2,1,1.0,79.0,8,1950.0
1053000,1,2,1,2.0,98.0,8,1985.0
1472000,2,3,2,2.0,170.0,8,1995.0
754000,1,2,1,1.0,88.0,8,1990.0
2188000,3,4,2,2.0,253.0,8,1981.0
755000,1,2,1,1.0,92.0,8,1980.0
650000,1,2,1,1.0,150.0,8,1960.0
1900000,3,4,2,1.0,155.0,8,1940.0
1750000,3,3,2,3.0,193.0,8,1943.0
730000,1,2,1,1.0,80.0,8,1960.0
1500000,3,3,2,2.0,190.0,8,2011.0
1700000,3,4,1,1.0,115.0,8,1935.0
1315000,2,3,2,2.0,167.0,8,2000.0
1500000,3,3,2,1.0,154.0,8,1950.0
1905000,3,4,2,2.0,185.0,8,1955.0
1900000,3,4,2,2.0,215.0,8,1955.0
2251000,3,3,1,2.0,137.0,8,1950.0
2205000,3,4,2,2.0,214.0,8,1950.0
1265000,3,3,2,1.0,160.0,8,2011.0
1750000,3,4,2,2.0,185.0,8,1960.0
1450000,3,3,1,2.0,124.0,8,1950.0
1825000,3,4,2,3.0,225.0,8,1958.0
1150000,2,3,2,1.0,144.0,8,2003.0
1850000,3,4,2,2.0,254.0,8,1990.0
1388800,3,4,2,1.0,247.0,8,1970.0
1700000,3,3,2,3.0,168.0,8,1960.0
1230000,3,3,3,1.0,188.0,8,2012.0
1950000,3,4,3,2.0,232.0,8,1970.0
1818000,3,3,1,1.0,90.0,8,1930.0
1720000,3,4,3,2.0,170.0,8,1950.0
1675000,3,4,2,2.0,201.0,8,1974.0
1680000,2,4,3,1.0,200.0,8,2014.0
2205000,3,4,2,2.0,250.0,8,1950.0
2100000,3,3,2,3.0,175.0,8,1940.0
685000,3,2,1,1.0,85.0,8,1975.0
1335000,3,3,2,2.0,177.0,8,2009.0
1040000,1,2,1,1.0,112.0,8,1995.0
1250000,3,4,2,2.0,153.0,8,1950.0
1530000,3,4,2,2.0,198.0,8,1960.0
1651000,3,3,1,2.0,151.0,8,1960.0
1038000,3,3,2,1.0,144.0,8,2003.0
1770000,3,3,2,1.0,147.0,8,1955.0
691500,1,2,1,1.0,102.0,8,1968.0
875000,1,3,1,2.0,121.0,8,1950.0
1425000,3,3,2,2.0,143.0,8,1960.0
851000,2,2,1,1.0,250.0,8,1970.0
1222500,3,3,2,2.0,181.0,8,2000.0
1317500,3,3,1,1.0,127.0,8,1945.0
360000,1,2,1,1.0,69.0,8,1965.0
1435000,2,4,3,2.0,212.0,8,2012.0
1110000,3,3,1,2.0,164.0,8,1940.0
1500000,3,3,2,1.0,222.0,8,1940.0
1300000,3,4,2,2.0,194.0,8,1940.0
1125000,3,3,1,2.0,116.0,8,1948.0
1328000,3,4,2,2.0,112.0,8,1940.0
1340000,3,3,2,1.0,135.0,8,1910.0
1155000,2,4,3,2.0,205.0,8,2010.0
855000,3,2,1,1.0,103.0,8,1940.0
650000,1,2,1,1.0,92.0,8,1960.0
1860000,3,4,2,3.0,197.0,8,1930.0
725000,1,2,1,1.0,100.0,8,1990.0
1293000,3,3,1,1.0,108.0,8,1950.0
1328000,3,3,2,2.0,245.0,8,1970.0
1247000,2,4,2,3.0,255.0,8,2008.0
1370000,3,3,1,2.0,143.0,8,1950.0
1095000,3,3,2,1.0,170.0,8,1965.0
725000,1,2,1,1.0,88.0,8,2012.0
825000,2,3,2,2.0,149.0,8,2007.0
1235000,2,3,2,2.0,160.0,8,2012.0
1165000,3,3,1,2.0,125.0,8,1950.0
820000,1,2,1,3.0,109.0,8,1960.0
1430000,3,4,2,2.0,168.0,8,1970.0
910000,3,2,1,2.0,96.0,8,1970.0
670000,2,2,2,1.0,90.0,8,2007.0
680000,2,2,1,1.0,107.0,8,1998.0
1320000,2,4,3,3.0,220.0,8,2010.0
1535000,3,3,2,2.0,150.0,8,1930.0
825000,3,2,2,1.0,125.0,8,2008.0
746000,1,2,1,2.0,95.0,8,2002.0
1025000,1,3,2,2.0,120.0,8,1999.0
495000,1,2,1,1.0,79.0,8,1980.0
1220000,3,4,2,2.0,178.0,8,1950.0
885000,3,3,1,2.0,110.0,8,1950.0
830000,2,3,2,2.0,141.0,8,2012.0
1210000,2,4,3,2.0,222.0,8,2014.0
1160000,2,4,2,2.0,180.0,8,2006.0
1215000,3,3,2,3.0,110.0,8,1970.0
1200000,3,4,2,2.0,191.0,8,1960.0
1050000,3,3,2,2.0,140.0,8,1950.0
380000,1,2,2,1.0,78.0,8,1970.0
1338000,3,3,2,2.0,177.0,8,1970.0
651000,1,2,1,1.0,150.0,8,1960.0
1390000,3,3,2,2.0,118.0,8,1960.0
1100000,3,3,1,2.0,163.0,8,1955.0
1206000,3,4,1,1.0,138.0,8,1940.0
486500,2,2,1,1.0,75.0,8,1960.0
1415000,3,4,2,2.0,177.0,8,1970.0
1185000,2,4,2,2.0,207.0,8,2012.0
1060000,2,4,3,1.0,166.0,8,1960.0
845000,3,3,2,2.0,145.0,8,1998.0
860000,2,3,2,1.0,117.0,8,1995.0
921000,2,3,2,2.0,140.0,8,2009.0
742500,3,2,1,1.0,135.0,8,1960.0
920000,3,3,2,2.0,120.0,8,1950.0
702000,3,2,1,1.0,102.0,8,1960.0
805000,2,3,2,1.0,117.0,8,2000.0
1100000,3,4,2,1.0,190.0,8,2004.0
722000,3,2,2,1.0,79.0,8,2005.0
930000,3,3,1,2.0,133.0,8,1960.0
921000,3,3,2,1.0,119.0,8,2000.0
1035000,3,4,1,2.0,160.0,8,1950.0
1352000,3,4,2,2.0,196.0,8,1950.0
1005000,2,4,2,2.0,205.0,8,2006.0
1200000,3,3,1,1.0,120.0,8,1970.0
780000,3,3,2,2.0,126.0,8,1950.0
1250000,2,4,2,2.0,231.0,8,2010.0
1110000,3,4,2,2.0,176.0,8,1960.0
1690000,3,4,2,2.0,165.0,8,1950.0
791000,1,3,3,1.0,122.0,8,1950.0
900000,3,3,1,3.0,140.0,8,1940.0
970000,2,3,2,2.0,156.0,8,2000.0
823000,3,3,2,2.0,143.0,8,2003.0
1045000,2,4,2,1.0,190.0,8,2010.0
655000,1,2,1,1.0,80.0,8,2000.0
835000,3,3,1,1.0,105.0,8,1980.0
1465000,2,4,2,2.0,256.0,8,2015.0
910000,3,3,1,1.0,96.0,8,1950.0
920000,1,3,2,1.0,123.0,8,2007.0
935000,2,3,2,2.0,160.0,8,2012.0
977000,3,3,1,2.0,163.0,8,1970.0
1352000,3,3,1,2.0,122.0,8,1950.0
1115000,3,4,2,2.0,160.0,8,1960.0
1197000,3,3,1,2.0,147.0,8,1949.0
485000,1,2,2,2.0,83.0,8,2011.0
1365000,3,4,1,1.0,151.0,8,1960.0
965000,2,3,2,1.0,28.0,8,2010.0
870000,1,3,2,2.0,150.0,8,2011.0
1161000,3,3,2,3.0,168.0,8,1950.0
1266000,3,3,1,3.0,146.0,8,1970.0
700000,2,3,2,2.0,200.0,8,2008.0
770000,1,3,2,1.0,132.0,8,2005.0
380000,1,1,1,1.0,99.0,8,1970.0
1175000,3,4,2,2.0,158.0,8,1980.0
1200000,3,3,1,1.0,120.0,8,1960.0
1370000,3,4,1,2.0,196.0,8,1970.0
1433500,3,4,1,1.0,186.0,8,1950.0
860000,2,3,2,1.0,131.0,8,2005.0
715000,1,2,1,1.0,114.0,8,1995.0
710000,3,2,1,1.0,115.0,8,1950.0
790000,1,3,1,2.0,100.0,8,1996.0
1020000,3,3,1,2.0,144.0,8,1960.0
886000,3,3,2,1.0,122.0,8,2012.0
1015000,3,4,2,3.0,198.0,8,1997.0
1255000,3,4,2,2.0,167.0,8,1950.0
1320000,3,3,1,1.0,94.0,8,1950.0
870000,3,3,2,1.0,133.0,8,1950.0
1472500,3,4,2,2.0,219.0,8,2013.0
640000,3,2,2,2.0,118.0,8,2005.0
1620000,3,4,2,2.0,255.0,7,1940.0
645000,1,2,1,1.0,81.0,7,1965.0
1560000,3,4,2,3.0,167.0,7,1905.0
1715000,3,3,2,2.0,170.0,7,1950.0
1200000,3,3,1,2.0,110.0,7,1950.0
1760000,3,3,1,0.0,151.0,7,1910.0
948000,3,3,1,2.0,108.0,7,1950.0
465000,1,2,2,1.0,65.0,7,2010.0
975000,2,4,2,2.0,158.0,7,2008.0
1325000,3,3,1,1.0,134.0,7,1950.0
750000,2,3,2,1.0,3.0,7,2000.0
1400000,3,3,2,1.0,159.0,7,1940.0
1500000,3,3,1,2.0,106.0,7,1930.0
1600000,3,4,2,1.0,195.0,7,1890.0
1461400,3,4,2,2.0,235.0,7,1927.0
775000,1,3,1,1.0,108.0,7,1980.0
928000,3,3,1,1.0,106.0,7,1890.0
636000,1,2,1,1.0,82.0,7,1970.0
1170000,3,3,1,1.0,95.0,7,1920.0
1670000,3,4,2,2.0,231.0,7,1924.0
857000,3,3,1,1.0,119.0,7,1930.0
822500,2,3,2,1.0,130.0,7,2000.0
645000,3,2,1,1.0,75.0,4,1950.0
502000,2,3,1,1.0,106.0,4,2011.0
495000,1,3,2,1.0,124.0,4,2006.0
645000,3,4,2,1.0,154.0,4,1990.0
652000,3,3,2,1.0,145.0,4,2010.0
850000,3,4,2,2.0,240.0,4,2002.0
575000,3,3,1,3.0,98.0,4,1955.0
882000,3,4,2,2.0,216.0,4,2008.0
730000,3,3,2,2.0,135.0,4,1970.0
610000,3,4,2,1.0,154.0,4,1990.0
696000,3,3,1,0.0,90.0,4,1960.0
579000,2,3,2,1.0,144.0,4,2013.0
765000,3,3,1,1.0,105.0,4,1960.0
475000,2,2,1,1.0,104.0,4,1980.0
550000,3,4,2,1.0,160.0,4,2000.0
495000,3,3,1,1.0,138.0,4,2005.0
565000,3,3,2,1.0,78.0,4,1970.0
1635000,3,3,1,2.0,156.0,8,1920.0
536000,1,2,1,2.0,70.0,8,1970.0
1975000,3,3,1,2.0,122.0,8,1930.0
1390000,3,3,1,2.0,137.0,8,1975.0
1300000,1,2,2,2.0,132.0,8,1940.0
1725000,2,3,2,2.0,225.0,8,1997.0
2100000,3,3,2,2.0,209.0,8,1970.0
800000,1,2,1,1.0,74.0,8,1960.0
1761000,3,4,2,3.0,135.0,8,1920.0
1302500,3,3,2,2.0,171.0,8,1993.0
892500,1,2,1,2.0,92.0,8,1970.0
2145000,3,4,2,1.0,197.0,8,1910.0
620000,1,2,2,1.0,74.0,8,2013.0
1475000,2,3,2,2.0,163.0,8,2000.0
1650000,3,3,2,2.0,111.0,8,1980.0
1100000,1,2,1,2.0,85.0,8,1935.0
1650000,3,3,2,1.0,143.0,8,1910.0
1570000,3,2,1,0.0,111.0,8,1920.0
1785000,3,3,2,1.0,118.0,8,1953.0
1875000,3,3,2,2.0,170.0,8,1991.0
1266000,1,3,1,2.0,116.0,8,1950.0
375000,1,1,1,1.0,40.0,8,1965.0
756000,1,2,1,1.0,80.0,8,1920.0
1385000,3,3,1,2.0,120.0,8,1935.0
858000,1,2,1,1.0,75.0,8,1950.0
610000,1,2,1,1.0,75.0,8,2005.0
1532000,3,2,1,2.0,165.0,8,1910.0
1037000,2,2,1,2.0,2.0,8,2009.0
1630000,2,4,2,2.0,196.0,8,2000.0
671000,1,1,1,1.0,74.0,8,1980.0
1352500,1,3,2,1.0,110.0,8,1993.0
1500000,3,4,2,1.0,195.0,8,1990.0
1940000,3,4,2,2.0,240.0,8,1960.0
930000,3,3,1,1.0,117.0,8,1930.0
1310000,3,4,3,2.0,213.0,8,2008.0
1445000,3,2,1,1.0,126.0,8,1940.0
1500000,3,3,2,2.0,228.0,8,2000.0
1400000,3,3,1,3.0,182.0,8,1950.0
1780000,3,2,3,2.0,119.0,8,1935.0
775000,1,2,1,1.0,90.0,8,1960.0
1480000,3,3,2,2.0,143.0,8,1925.0
1590000,3,3,3,2.0,244.0,8,2012.0
1000000,3,2,1,2.0,131.0,8,1948.0
880000,1,3,2,2.0,34.0,8,1990.0
1920000,3,4,1,1.0,203.0,8,1960.0
1301000,3,3,2,2.0,121.0,8,1926.0
1650000,3,4,3,2.0,212.0,8,1948.0
1530000,3,4,2,1.0,177.0,8,1920.0
905000,1,2,1,2.0,93.0,8,1980.0
1355000,3,3,1,2.0,151.0,8,1930.0
1845000,3,2,1,2.0,145.0,8,1950.0
1710000,3,3,3,2.0,228.0,8,1915.0
1300000,2,3,2,2.0,222.0,8,2000.0
2150000,3,4,3,2.0,225.0,8,1970.0
681000,2,1,1,1.0,60.0,8,2012.0
1310000,3,2,3,2.0,250.0,8,2018.0
340000,1,1,1,1.0,57.0,8,1950.0
692000,1,2,1,1.0,66.0,8,1960.0
1367000,2,4,2,2.0,4.0,8,2000.0
903000,1,2,1,1.0,101.0,8,1970.0
1813000,3,2,1,2.0,117.0,8,1930.0
1230000,2,3,2,2.0,193.0,8,1980.0
1389000,3,4,1,2.0,150.0,8,1930.0
2310000,3,4,2,2.0,130.0,8,1930.0
1014000,2,2,1,1.0,131.0,8,1990.0
1026000,3,2,1,0.0,108.0,5,1905.0
1802500,3,4,3,1.0,93.0,5,1910.0
1500000,3,4,3,1.0,209.0,5,1890.0
410000,1,2,1,1.0,66.0,5,2000.0
272500,1,1,1,1.0,40.0,5,1970.0
680000,3,3,3,1.0,100.0,5,2016.0
400000,1,2,1,1.0,61.0,5,1970.0
950000,3,3,1,0.0,96.0,5,1910.0
845500,3,2,1,1.0,90.0,5,1890.0
605000,2,2,1,1.0,78.0,5,2009.0
445000,1,2,1,1.0,61.0,5,1975.0
659500,1,2,1,1.0,85.0,5,1970.0
600000,1,2,1,1.0,75.0,5,2011.0
1115000,3,4,1,0.0,139.0,5,1900.0
1125000,3,3,1,1.0,91.0,5,1910.0
855000,3,3,1,1.0,97.0,5,1930.0
940000,2,3,2,1.0,140.0,5,2016.0
750000,2,2,2,1.0,88.0,5,2013.0
1056000,3,2,1,1.0,108.0,5,1910.0
880000,1,3,2,1.0,152.0,5,2000.0
1222500,3,3,1,0.0,126.0,5,1890.0
955000,2,3,2,2.0,110.0,5,2007.0
587000,1,2,1,1.0,65.0,5,1970.0
1060000,3,3,1,0.0,121.0,5,1935.0
890000,3,2,1,1.0,93.0,5,1900.0
685000,2,2,2,1.0,100.0,5,2002.0
976000,3,3,2,1.0,162.0,5,2005.0
641000,2,3,2,1.0,112.0,5,1900.0
770000,3,2,1,0.0,87.0,5,1910.0
279500,1,1,1,1.0,51.0,5,1970.0
1800000,3,4,2,3.0,180.0,5,1900.0
1350000,3,4,1,1.0,151.0,5,1940.0
1320000,3,4,2,1.0,156.0,5,1920.0
825000,3,3,1,1.0,130.0,5,1900.0
1261000,3,3,1,1.0,100.0,5,1910.0
1045000,3,3,1,2.0,105.0,5,1890.0
1044000,1,3,1,1.0,85.0,5,2000.0
1050000,3,3,1,1.0,126.0,5,1910.0
1691500,3,3,2,3.0,152.0,5,1920.0
1075000,3,2,1,0.0,108.0,5,1930.0
501000,1,2,1,1.0,80.0,5,2010.0
1650000,3,3,1,2.0,141.0,5,1920.0
601000,1,2,1,1.0,57.0,5,1970.0
1015000,3,2,1,0.0,86.0,5,1920.0
625000,2,1,1,1.0,114.0,5,1930.0
1700000,3,3,2,1.0,195.0,5,1945.0
